Film,Genre,Lead Studio,Audience score %,Profitability,Rotten Tomatoes %,Worldwide Gross,Year,Decade,isIndependent,Critic-Audience Gap Rating,ROI_Category,Profitability_winsorized,Worldwide Gross_winsorized
Zack and Miri Make a Porno,Romance,The Weinstein Company,70.0,1.747541667,64.0,41.94,2008,2000s,Major Studio,Favored by audience,Low,1.747541667,41.94
Youth in Revolt,Comedy,The Weinstein Company,52.0,1.09,68.0,19.62,2010,2010s,Major Studio,Favored by critics,Low,1.09,19.62
You Will Meet a Tall Dark Stranger,Comedy,Independent,35.0,1.211818182,43.0,26.66,2010,2010s,Independent,Favored by critics,Low,1.211818182,26.66
When in Rome,Comedy,Disney,44.0,0.0,15.0,43.04,2010,2010s,Major Studio,Favored by audience,Low,0.17852643,43.04
What Happens in Vegas,Comedy,Fox,72.0,6.267647029,28.0,219.37,2008,2000s,Major Studio,Favored by audience,High,6.267647029,219.37
Water For Elephants,Drama,20th Century Fox,72.0,3.081421053,60.0,117.09,2011,2010s,Major Studio,Favored by audience,Medium,3.081421053,117.09
WALL-E,Animation,Disney,89.0,2.896019067,96.0,521.28,2008,2000s,Major Studio,Favored by critics,Medium,2.896019067,447.0589999999997
Waitress,Romance,Independent,67.0,11.0897415,89.0,22.18,2007,2000s,Independent,Favored by critics,High,10.452941370999998,22.18
Waiting For Forever,Romance,Independent,53.0,0.005,6.0,0.03,2011,2010s,Independent,Favored by audience,Low,0.17852643,13.227
Valentine's Day,Comedy,Warner Bros.,54.0,4.184038462,17.0,217.57,2010,2010s,Major Studio,Favored by audience,High,4.184038462,217.57
Tyler Perry's Why Did I get Married,Romance,Independent,47.0,3.7241924,46.0,55.86,2007,2000s,Independent,Favored by audience,High,3.7241924,55.86
Twilight: Breaking Dawn,Romance,Independent,68.0,6.383363636,26.0,702.17,2011,2010s,Independent,Favored by audience,High,6.383363636,447.0589999999997
Twilight,Romance,Summit,82.0,10.18002703,49.0,376.66,2008,2000s,Major Studio,Favored by audience,High,10.18002703,376.66
The Ugly Truth,Comedy,Independent,68.0,5.402631579,14.0,205.3,2009,2000s,Independent,Favored by audience,High,5.402631579,205.3
The Twilight Saga: New Moon,Drama,Summit,78.0,14.1964,27.0,709.82,2009,2000s,Major Studio,Favored by audience,High,10.452941370999998,447.0589999999997
The Time Traveler's Wife,Drama,Paramount,65.0,2.598205128,38.0,101.33,2009,2000s,Major Studio,Favored by audience,Medium,2.598205128,101.33
The Proposal,Comedy,Disney,74.0,7.8675,43.0,314.7,2009,2000s,Major Studio,Favored by audience,High,7.8675,314.7
The Invention of Lying,Comedy,Warner Bros.,47.0,1.751351351,56.0,32.4,2009,2000s,Major Studio,Favored by critics,Low,1.751351351,32.4
The Heartbreak Kid,Comedy,Paramount,41.0,2.129444167,30.0,127.77,2007,2000s,Major Studio,Favored by audience,Medium,2.129444167,127.77
The Duchess,Drama,Paramount,68.0,3.207850222,60.0,43.31,2008,2000s,Major Studio,Favored by audience,Medium,3.207850222,43.31
The Curious Case of Benjamin Button,Fantasy,Warner Bros.,81.0,1.78394375,73.0,285.43,2008,2000s,Major Studio,Favored by audience,Low,1.78394375,285.43
The Back-up Plan,Comedy,CBS,47.0,2.640843137,20.0,55.86,2010,2010s,Major Studio,Favored by audience,Medium,2.640843137,55.86
Tangled,Animation,Disney,88.0,1.365692308,89.0,355.01,2010,2010s,Major Studio,Favored by critics,Low,1.365692308,355.01
Something Borrowed,Romance,Independent,48.0,1.719514286,15.0,60.18,2011,2010s,Independent,Favored by audience,Low,1.719514286,60.18
She's Out of My League,Comedy,Paramount,60.0,2.4405,57.0,48.81,2010,2010s,Major Studio,Favored by audience,Medium,2.4405,48.81
Sex and the City Two,Comedy,Warner Bros.,49.0,2.8835,15.0,288.35,2010,2010s,Major Studio,Favored by audience,Medium,2.8835,288.35
Sex and the City 2,Comedy,Warner Bros.,49.0,2.8835,15.0,288.35,2010,2010s,Major Studio,Favored by audience,Medium,2.8835,288.35
Sex and the City,Comedy,Warner Bros.,63.486486486486484,7.221795791,49.0,415.25,2008,2000s,Major Studio,Favored by audience,High,7.221795791,415.25
Remember Me,Unknown,Summit,70.0,3.49125,28.0,55.86,2010,2010s,Major Studio,Favored by audience,High,3.49125,55.86
Rachel Getting Married,Drama,Independent,61.0,1.384166667,45.972972972972975,16.61,2008,2000s,Independent,Favored by audience,Low,1.384166667,16.61
Penelope,Comedy,Summit,74.0,1.382799733,52.0,20.74,2008,2000s,Major Studio,Favored by audience,Low,1.382799733,20.74
P.S. I Love You,Romance,Independent,82.0,5.103116833,21.0,153.09,2007,2000s,Independent,Favored by audience,High,5.103116833,153.09
Over Her Dead Body,Comedy,New Line,47.0,2.071,15.0,20.71,2009,2000s,Major Studio,Favored by audience,Medium,2.071,20.71
Our Family Wedding,Comedy,Independent,49.0,0.0,14.0,21.37,2010,2010s,Independent,Favored by audience,Low,0.17852643,21.37
One Day,Romance,Independent,54.0,3.682733333,37.0,55.24,2011,2010s,Independent,Favored by audience,High,3.682733333,55.24
Not Easily Broken,Drama,Unknown,66.0,2.14,34.0,10.7,2009,2000s,Major Studio,Favored by audience,Medium,2.14,13.227
No Reservations,Comedy,Warner Bros.,64.0,3.307180357,39.0,92.6,2007,2000s,Major Studio,Favored by audience,Medium,3.307180357,92.6
Nick and Norah's Infinite Playlist,Comedy,Sony,67.0,3.3527293,73.0,33.53,2008,2000s,Major Studio,Favored by critics,Medium,3.3527293,33.53
New Year's Eve,Romance,Warner Bros.,48.0,2.536428571,8.0,142.04,2011,2010s,Major Studio,Favored by audience,Medium,2.536428571,142.04
My Week with Marilyn,Drama,The Weinstein Company,84.0,0.8258,83.0,8.26,2011,2010s,Major Studio,Favored by audience,Low,0.8258,13.227
Music and Lyrics,Romance,Warner Bros.,70.0,3.64741055,63.0,145.9,2007,2000s,Major Studio,Favored by audience,High,3.64741055,145.9
Monte Carlo,Romance,20th Century Fox,50.0,1.9832,38.0,39.66,2011,2010s,Major Studio,Favored by audience,Low,1.9832,39.66
Miss Pettigrew Lives for a Day,Comedy,Independent,70.0,0.2528949,78.0,15.17,2008,2000s,Independent,Favored by critics,Low,0.2528949,15.17
Midnight in Paris,Romance,Sony,84.0,8.744705882,93.0,148.66,2011,2010s,Major Studio,Favored by critics,High,8.744705882,148.66
Marley and Me,Comedy,Fox,77.0,3.746781818,63.0,206.07,2008,2000s,Major Studio,Favored by audience,High,3.746781818,206.07
Mamma Mia!,Comedy,Universal,76.0,9.234453864,53.0,609.47,2008,2000s,Major Studio,Favored by audience,High,9.234453864,447.0589999999997
Made of Honor,Comedy,Sony,61.0,2.64906835,13.0,105.96,2008,2000s,Major Studio,Favored by audience,Medium,2.64906835,105.96
Love Happens,Drama,Unknown,40.0,2.004444444,18.0,36.08,2009,2000s,Major Studio,Favored by audience,Medium,2.004444444,36.08
Love & Other Drugs,Comedy,Fox,55.0,1.817666667,48.0,54.53,2010,2010s,Major Studio,Favored by audience,Low,1.817666667,54.53
Life as We Know It,Comedy,Independent,62.0,2.530526316,28.0,96.16,2010,2010s,Independent,Favored by audience,Medium,2.530526316,96.16
